,LBAHH,GBAHA,WHD,LBAH,GBAH,IWH,IWA,WHA,SBD,B365<2.5,SOA,B365A,GBD,GBA,B365H,SBA,LBAHA,B365D,LBH,GBAHH,GB<2.5,LBD,GBH,LBA,SOD,WHH,B365>2.5,B365AH,B365AHH,IWD,SOH,GB>2.5,B365AHA,SBH,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
41,,1.85,3.1,,-0.25,2.2,2.9,2.8,3.2,1.8,2.8,2.87,3.2,2.9,2.3,2.8,,3.2,2.375,1.95,1.75,3.0,2.3,2.75,3.25,2.25,2.0,-0.25,2.1,3.0,2.2,1.95,1.8,2.25,Bolton_Middlesbrough_2003,5,5,2003-09-13,2003,23,25
42,1.85,2.0,3.5,1.0,1.0,4.4,1.65,1.57,3.4,2.0,1.53,1.61,3.65,1.57,5.0,1.57,2.0,3.6,4.5,1.8,2.0,3.5,5.5,1.615,3.5,5.0,1.8,0.5,2.1,3.3,5.5,1.71,1.8,5.5,Charlton_Man United_2003,5,5,2003-09-13,2003,29,13
43,2.0,1.85,3.25,-1.25,-1.25,1.55,4.8,6.0,3.5,2.05,7.0,6.0,3.65,6.65,1.53,6.0,1.85,3.6,1.5330000000000001,1.95,1.9,3.5,1.5,5.5,3.5,1.53,1.75,-1.25,2.075,3.5,1.44,1.8,1.825,1.5,Chelsea_Tottenham_2003,4,5,2003-09-13,2003,30,6
44,1.8,2.05,3.5,-0.75,-0.75,1.7,4.2,5.0,3.4,1.85,5.5,5.5,3.55,5.4,1.61,5.5,2.05,3.4,1.615,1.8,1.85,3.25,1.6,5.0,3.4,1.57,1.95,-0.75,1.85,3.2,1.57,1.85,2.05,1.57,Southampton_Wolves_2003,5,5,2003-09-13,2003,12,4
45,1.95,1.9,3.3,-0.5,-0.5,2.0,3.2,3.6,3.3,1.9,3.5,4.0,3.25,3.65,1.83,3.75,1.9,3.25,1.8330000000000002,1.9,1.9,3.0,1.95,4.0,3.4,1.83,1.9,-0.5,1.975,3.1,2.0,1.79,1.925,1.83,Man City_Aston Villa_2003,5,5,2003-09-14,2003,3,21
46,2.05,1.9,3.2,-0.5,-0.5,2.0,3.2,3.75,3.3,1.75,4.33,4.0,3.25,3.6,1.83,3.75,1.8,3.25,1.8330000000000002,1.9,1.79,3.0,1.95,4.0,3.4,1.83,2.05,-0.5,2.025,3.1,1.8,1.9,1.875,1.83,Birmingham_Fulham_2003,4,4,2003-09-14,2003,19,16
47,2.05,2.05,3.1,0.0,0.25,2.4,2.4,2.5,3.2,1.8,2.38,2.5,3.2,2.5,2.6,2.5,1.8,3.2,2.5,1.77,1.85,3.2,2.65,2.5,3.4,2.5,2.0,-0.5,2.025,3.2,2.75,1.85,1.875,2.5,Leicester_Leeds_2003,5,5,2003-09-15,2003,27,2
48,2.0,1.85,3.6,1.25,1.25,5.0,1.5,1.44,3.6,2.1,1.44,1.5,3.65,1.5,6.5,1.5,1.85,3.6,6.0,1.95,2.05,3.4,5.95,1.5,4.0,6.5,1.7,1.25,1.95,3.7,7.5,1.65,1.95,6.0,Wolves_Chelsea_2003,6,5,2003-09-20,2003,4,30
49,1.9,2.15,3.2,-0.5,-0.25,1.8,3.8,3.75,3.25,1.8,3.75,3.75,3.3,3.75,1.9,3.75,1.95,3.25,1.909,1.65,1.85,3.2,1.9,3.5,3.25,1.83,2.0,-0.5,2.0,3.1,1.83,1.85,1.9,1.85,Aston Villa_Charlton_2003,6,6,2003-09-20,2003,21,29
50,1.85,2.0,3.1,0.0,0.0,2.3,2.7,2.5,3.2,1.9,2.62,2.8,3.25,2.7,2.3,2.62,2.0,3.25,2.25,1.8,1.85,3.2,2.4,2.75,3.2,2.5,1.9,0.0,1.85,3.0,2.38,1.85,2.05,2.37,Fulham_Man City_2003,5,6,2003-09-20,2003,16,3
51,1.85,1.9,3.25,-0.25,-0.25,2.1,3.1,2.75,3.25,1.75,3.0,3.2,3.25,3.15,2.1,3.0,2.0,3.25,2.1,1.9,1.85,3.2,2.15,3.0,3.25,2.2,2.05,-0.25,1.85,3.0,2.1,1.85,2.05,2.1,Leeds_Birmingham_2003,6,5,2003-09-20,2003,2,19
52,1.8,2.08,4.0,-1.25,-1.25,1.35,7.0,8.0,4.2,2.0,8.5,9.5,4.3,10.0,1.3,8.0,2.05,4.5,1.3330000000000002,1.75,2.05,3.75,1.32,9.0,4.0,1.33,1.8,-1.25,1.825,4.0,1.33,1.65,2.075,1.33,Liverpool_Leicester_2003,6,6,2003-09-20,2003,10,27
