,SBD,B365D,SBH,LBA,BWD,GBAH,BWH,WHD,LBAHA,B365AHA,GBH,GBD,B365AH,WHA,GBA,IWH,B365H,WHH,LBH,IWA,LBD,GB>2.5,IWD,LBAHH,GB<2.5,B365A,B365AHH,SBA,B365<2.5,GBAHH,GBAHA,LBAH,BWA,B365>2.5,idGame,nWeekHome,nWeekAway,Date,year,IdHomeTeam,IdAwayTeam
49,3.2,3.2,2.62,2.38,3.2,-0.25,2.75,2.9,1.84,1.85,2.8,3.25,0.0,2.5,2.4,2.5,2.75,2.62,2.6,2.5,3.2,1.9,3.0,2.0,1.79,2.5,2.05,2.5,1.85,2.4,1.52,0.0,2.35,1.95,Norwich_Aston Villa_2004,6,6,2004-09-18,2004,25,1
50,3.2,3.2,2.5,2.4,3.25,-0.25,2.5,3.1,1.8,1.85,2.65,3.2,0.0,2.5,2.55,2.5,2.6,2.5,2.5,2.5,3.25,1.85,3.0,2.04,1.85,2.62,2.05,2.62,1.85,2.3,1.55,0.0,2.55,1.95,Crystal Palace_Man City_2004,6,6,2004-09-18,2004,12,21
51,3.2,3.2,2.4,2.6,3.15,-0.25,2.3,3.1,2.02,2.1,2.4,3.25,0.0,2.62,2.8,2.2,2.5,2.37,2.38,2.9,3.2,1.95,3.0,1.82,1.75,2.75,1.8,2.7,1.75,2.2,1.6,0.0,2.85,2.05,West Brom_Fulham_2004,6,6,2004-09-18,2004,36,15
52,3.25,3.1,1.91,3.4,3.2,-0.25,1.85,3.3,1.94,1.95,1.9,3.3,-0.5,3.75,4.0,1.8,1.9,1.8,1.91,3.8,3.25,1.9,3.1,1.9,1.79,4.33,1.95,3.75,1.75,1.65,2.15,-0.5,4.0,2.05,Birmingham_Charlton_2004,6,6,2004-09-18,2004,2,10
53,5.0,5.0,1.25,10.0,4.5,-1.25,1.3,5.0,,1.925,1.27,5.0,-1.5,11.0,11.0,1.3,1.25,1.2,1.25,8.0,4.5,1.55,4.2,,2.25,13.0,1.975,10.0,2.2,1.67,2.1,,9.0,1.65,Arsenal_Bolton_2004,6,6,2004-09-18,2004,0,5
54,3.25,3.25,2.2,3.0,3.15,0.0,2.0,3.0,2.02,1.75,2.15,3.2,-0.5,3.1,3.3,2.0,2.2,2.15,2.1,3.2,3.2,1.85,3.1,1.82,1.85,3.2,2.15,3.0,1.85,1.55,2.35,-0.25,3.5,1.95,Blackburn_Portsmouth_2004,6,5,2004-09-18,2004,3,26
55,3.75,3.6,1.44,6.0,3.6,-1.25,1.5,3.5,2.0,2.05,1.5,3.7,-1.0,7.0,7.0,1.4,1.5,1.44,1.5,6.0,3.4,1.75,3.9,1.84,1.95,7.5,1.85,7.0,1.85,2.2,1.6,-1.0,6.25,1.95,Chelsea_Tottenham_2004,6,6,2004-09-19,2004,11,34
56,3.2,3.2,2.38,2.75,3.2,-0.25,2.35,3.1,2.0,2.1,2.4,3.25,0.0,2.62,2.8,2.4,2.5,2.37,2.25,2.6,3.2,1.85,3.0,1.84,1.85,2.75,1.8,2.75,1.8,2.1,1.67,0.0,2.75,2.0,Everton_Middlesbrough_2004,6,6,2004-09-19,2004,14,23
57,3.2,3.25,2.75,2.38,3.15,-0.25,2.5,3.2,1.8,1.8,2.6,3.25,0.0,2.25,2.55,2.5,2.87,2.75,2.6,2.5,3.2,1.85,3.0,2.04,1.85,2.37,2.1,2.38,1.8,2.6,1.45,0.0,2.6,2.0,Southampton_Newcastle_2004,6,6,2004-09-19,2004,30,24
58,3.25,3.2,1.91,3.75,3.2,0.0,1.9,3.0,1.94,2.05,2.0,3.2,-0.25,3.4,3.75,2.1,2.0,2.0,1.83,3.1,3.2,1.85,3.0,1.9,1.85,3.75,1.85,3.75,1.8,1.55,2.3,-0.25,3.8,2.0,Man United_Liverpool_2004,6,5,2004-09-20,2004,22,20
59,3.75,3.75,1.44,7.0,4.0,-1.0,1.4,3.1,1.9,1.85,1.45,3.9,-1.25,6.5,7.5,1.45,1.5,1.53,1.4,5.4,3.75,1.75,3.8,1.94,1.95,7.0,2.05,7.0,1.95,1.6,2.2,-1.25,7.25,1.85,Newcastle_West Brom_2004,7,7,2004-09-25,2004,24,36
60,3.6,3.6,1.5,8.0,4.0,-1.25,1.4,3.4,1.9,1.875,1.45,3.9,-1.25,6.0,7.5,1.45,1.5,1.5,1.36,5.4,3.75,1.75,3.8,1.94,1.95,7.5,2.025,6.5,1.9,1.95,1.9,-1.25,7.25,1.9,Aston Villa_Crystal Palace_2004,7,7,2004-09-25,2004,1,12
61,3.25,3.2,1.91,4.0,3.3,-0.25,1.85,3.1,1.86,1.9,2.0,3.25,-0.5,3.3,3.7,1.9,2.0,2.0,1.8,3.5,3.2,1.9,3.1,1.98,1.79,3.75,2.0,3.75,1.75,1.6,2.2,-0.5,3.85,2.05,Bolton_Birmingham_2004,7,7,2004-09-25,2004,5,2
62,3.25,3.2,1.91,3.75,3.2,-0.25,1.95,3.2,1.8,1.775,2.0,3.2,-0.5,3.75,3.75,1.85,2.0,1.83,1.83,3.6,3.2,1.95,3.1,2.04,1.75,3.75,2.125,3.75,1.75,1.6,2.2,-0.5,3.6,2.05,Fulham_Southampton_2004,7,7,2004-09-25,2004,15,30
63,4.0,4.0,1.4,8.0,4.0,-1.0,1.35,3.75,1.82,1.825,1.45,3.9,-1.25,8.0,7.5,1.4,1.4,1.36,1.36,6.0,3.75,1.79,3.9,2.02,1.9,9.0,2.075,7.5,1.9,1.7,2.05,-1.25,9.0,1.9,Liverpool_Norwich_2004,6,7,2004-09-25,2004,20,25
64,3.6,3.5,5.5,1.5,3.55,0.75,5.65,3.4,1.74,1.8,5.5,3.5,0.75,1.5,1.62,5.0,6.5,6.0,6.0,1.5,3.4,1.75,3.7,2.1,1.95,1.57,2.1,1.57,2.2,2.05,1.8,0.75,1.55,1.65,Man City_Arsenal_2004,7,7,2004-09-25,2004,21,0
