,idGame,Date,Referee,Id_Team_Home,Id_Team_Away,nWeekHome,nWeekAway,year,Goals_H,Goals_A,Prob_H_last_3,Prob_D_last_3,Prob_A_last_3,Prob_H_last_6,Prob_D_last_6,Prob_A_last_6,Prob_H_last_10,Prob_D_last_10,Prob_A_last_10,Prob_H_last_infinity,Prob_D_last_infinity,Prob_A_last_infinity,Average_H,Std_dev_H,Average_D,Std_dev_D,Average_A,Std_dev_A,Average_>2.5,Std_dev_>2.5,Average_<2.5,Std_dev_<2.5,Diff_H_last_3,Diff_D_last_3,Diff_A_last_3,Diff_H_last_6,Diff_D_last_6,Diff_A_last_6,Diff_H_last_10,Diff_D_last_10,Diff_A_last_10,Diff_H_last_infinity,Diff_D_last_infinity,Diff_A_last_infinity
129,Crystal Palace_Sunderland_2015,2015-11-23,M Atkinson,24,38,13,13,2015,0,1,74.084,17.74,7.619,58.746,22.717,18.262,,,,64.36,20.05,15.032,63.258,1.321,25.788,2.207,15.716,2.045,,,,,10.826,-8.048,-8.097,-4.512,-3.071,2.546,,,,1.102,-5.738,-0.684
130,Sunderland_Stoke_2015,2015-11-28,M Dean,38,22,14,14,2015,2,0,0.0,61.923,38.077,18.743,45.154,36.102,,,,23.201,36.782,40.013,32.479,1.875,30.955,0.906,41.163,0.708,,,,,-32.479,30.968,-3.086,-13.736,14.199,-5.061,,,,-9.278,5.827,-1.15
131,Aston Villa_Watford_2015,2015-11-28,L Mason,21,39,14,14,2015,2,3,8.06,37.898,54.037,14.31,32.609,53.064,,,,14.643,31.342,53.992,36.945,1.429,31.384,1.153,36.054,1.067,,,,,-28.885,6.514,17.983,-22.635,1.225,17.01,,,,-22.302,-0.042,17.938
132,Crystal Palace_Newcastle_2015,2015-11-28,S Attwell,24,9,14,14,2015,5,1,29.477,40.632,29.89,61.071,31.459,7.447,,,,63.533,28.464,7.959,58.39,0.723,26.453,1.564,19.654,2.047,,,,,-28.913,14.179,10.236,2.681,5.006,-12.207,,,,5.143,2.011,-11.695
133,Leicester_Man United_2015,2015-11-28,C Pawson,27,13,14,14,2015,1,1,3.963,13.136,81.768,37.358,21.023,40.844,,,,34.203,21.335,43.802,32.458,1.573,29.765,1.219,42.126,0.651,,,,,-28.495,-16.629,39.642,4.9,-8.742,-1.282,,,,1.745,-8.43,1.676
134,Man City_Southampton_2015,2015-11-28,R East,3,12,14,14,2015,3,1,16.652,18.325,63.873,35.944,26.906,37.083,,,,41.39,26.828,31.712,63.72,1.405,23.824,1.358,16.766,1.054,,,,,-47.068,-5.499,47.107,-27.776,3.082,20.317,,,,-22.33,3.004,14.946
135,Bournemouth_Everton_2015,2015-11-28,K Friend,17,8,14,14,2015,3,3,6.941,12.8,77.893,11.477,26.553,61.895,,,,11.671,25.416,62.813,34.968,1.535,29.06,1.325,40.453,0.831,,,,,-28.027,-16.26,37.44,-23.491,-2.507,21.442,,,,-23.297,-3.644,22.36
136,Tottenham_Chelsea_2015,2015-11-29,M Oliver,6,30,14,14,2015,0,0,80.042,13.379,5.212,84.151,9.865,3.308,,,,81.172,10.334,4.89,38.832,0.587,30.115,1.454,35.278,1.471,,,,,41.21,-16.736,-30.066,45.319,-20.25,-31.97,,,,42.34,-19.781,-30.388
137,West Ham_West Brom_2015,2015-11-29,M Atkinson,5,7,14,14,2015,1,1,65.509,26.519,7.906,37.265,37.856,24.876,,,,38.269,36.333,25.394,48.623,0.818,29.728,0.758,26.238,1.241,,,,,16.886,-3.209,-18.332,-11.358,8.128,-1.362,,,,-10.354,6.605,-0.844
138,Liverpool_Swansea_2015,2015-11-29,A Taylor,10,0,14,14,2015,1,0,51.156,23.323,25.258,37.503,28.854,33.61,,,,38.066,27.731,34.153,67.849,1.246,22.844,1.66,13.697,1.427,,,,,-16.693,0.479,11.561,-30.346,6.01,19.913,,,,-29.783,4.887,20.456
139,Norwich_Arsenal_2015,2015-11-29,J Moss,14,31,14,14,2015,1,1,5.958,22.161,71.725,12.791,19.564,67.097,,,,12.745,18.67,67.856,17.665,0.927,24.021,0.812,62.661,1.928,,,,,-11.707,-1.86,9.064,-4.874,-4.457,4.436,,,,-4.92,-5.351,5.195
140,Watford_Norwich_2015,2015-12-05,M Dean,39,14,15,15,2015,2,0,52.556,22.106,24.924,43.501,30.996,25.484,,,,35.318,32.928,31.745,46.979,1.334,29.999,1.445,28.03,1.002,,,,,5.577,-7.893,-3.106,-3.478,0.997,-2.546,,,,-11.661,2.929,3.715
141,Man United_West Ham_2015,2015-12-05,M Clattenburg,13,5,15,15,2015,0,0,90.431,8.12,0.0,73.879,21.074,4.866,,,,70.325,23.949,5.623,70.081,0.938,22.993,1.595,11.762,1.008,,,,,20.35,-14.873,-11.762,3.798,-1.919,-6.896,,,,0.244,0.956,-6.139
142,Southampton_Aston Villa_2015,2015-12-05,A Taylor,12,21,15,15,2015,1,1,85.671,10.426,2.269,78.031,7.995,4.724,,,,71.615,14.024,11.19,66.496,1.243,24.317,1.836,14.064,1.238,,,,,19.175,-13.891,-11.795,11.535,-16.322,-9.34,,,,5.119,-10.293,-2.874
