,idGame,nWeekAway,Date,year,IdAwayTeam,FT_against_A,FTG_asA,FT_RESULT,HT_against_A,HTG_asA,HT_RESULT,Referee,Shoot_against_A,Shoot_asA,ShootTarget_against_A,ShootTarget_asA,Fouls_against_A,Fouls_asA,Corner_against_A,Corner_asA,YellowC_against_A,YellowC_asA,RedC_againts_A,RedC_asA,Shoot_asA_last_3,Shoot_asA_last_6,Shoot_asA_last_10,Shoot_asA_last_infinity,ShootTarget_asA_last_3,ShootTarget_asA_last_6,ShootTarget_asA_last_10,ShootTarget_asA_last_infinity,Fouls_asA_last_3,Fouls_asA_last_6,Fouls_asA_last_10,Fouls_asA_last_infinity,Corner_asA_last_3,Corner_asA_last_6,Corner_asA_last_10,Corner_asA_last_infinity,FTG_asA_last_3,FTG_asA_last_6,FTG_asA_last_10,FTG_asA_last_infinity,HTG_asA_last_3,HTG_asA_last_6,HTG_asA_last_10,HTG_asA_last_infinity,YellowC_asA_last_3,YellowC_asA_last_6,YellowC_asA_last_10,YellowC_asA_last_infinity,RedC_asA_last_3,RedC_asA_last_6,RedC_asA_last_10,RedC_asA_last_infinity,FT_against_A_last_3,FT_against_A_last_6,FT_against_A_last_10,FT_against_A_last_infinity,HT_against_A_last_3,HT_against_A_last_6,HT_against_A_last_10,HT_against_A_last_infinity,Shoot_against_A_last_3,Shoot_against_A_last_6,Shoot_against_A_last_10,Shoot_against_A_last_infinity,ShootTarget_against_A_last_3,ShootTarget_against_A_last_6,ShootTarget_against_A_last_10,ShootTarget_against_A_last_infinity,Fouls_against_A_last_3,Fouls_against_A_last_6,Fouls_against_A_last_10,Fouls_against_A_last_infinity,Corner_against_A_last_3,Corner_against_A_last_6,Corner_against_A_last_10,Corner_against_A_last_infinity,RedC_againts_A_last_3,RedC_againts_A_last_6,RedC_againts_A_last_10,RedC_againts_A_last_infinity,YellowC_against_A_last_3,YellowC_against_A_last_6,YellowC_against_A_last_10,YellowC_against_A_last_infinity
34,Man City_Charlton_2004,2,2004-08-28,2004,10,4,0,Lost,2,0,Lost,M Halsey,16,6,10,3,11,8,6,4,0,1,0,0,,,,9,,,,5,,,,12,,,,5,,,,1,,,,0,,,,1,,,,0,,,,4,,,,2,,,,21,,,,11,,,,10,,,,9,,,,0,,,,1
35,Blackburn_Man United_2004,2,2004-08-28,2004,22,1,1,Draw,1,0,Lost,A Wiley,8,24,4,15,25,17,4,14,3,1,1,0,,,,11,,,,3,,,,8,,,,3,,,,0,,,,0,,,,0,,,,0,,,,1,,,,1,,,,8,,,,5,,,,17,,,,2,,,,0,,,,0
36,Bolton_Liverpool_2004,2,2004-08-29,2004,20,1,0,Lost,1,0,Lost,U Rennie,10,7,8,2,15,14,5,2,2,0,0,0,,,,16,,,,8,,,,11,,,,8,,,,1,,,,1,,,,1,,,,0,,,,1,,,,0,,,,14,,,,7,,,,17,,,,3,,,,0,,,,3
37,Portsmouth_Fulham_2004,2,2004-08-30,2004,15,4,3,Lost,3,2,Lost,B Knight,21,18,13,10,12,12,6,8,0,2,0,0,,,,4,,,,2,,,,12,,,,4,,,,1,,,,0,,,,2,,,,0,,,,1,,,,1,,,,12,,,,5,,,,14,,,,9,,,,0,,,,0
38,Man United_Everton_2004,2,2004-08-30,2004,14,0,0,Draw,0,0,Draw,D Gallagher,14,7,6,2,8,13,8,2,0,2,0,0,,,,14,,,,7,,,,18,,,,6,,,,3,,,,1,,,,1,,,,1,,,,1,,,,1,,,,15,,,,9,,,,6,,,,6,,,,0,,,,1
39,Fulham_Arsenal_2004,3,2004-09-11,2004,0,0,3,Winn,0,0,Draw,M Halsey,9,12,7,7,16,10,9,4,2,2,0,0,,,,36,,,,29,,,,24,,,,17,,,,8,,,,5,,,,2,,,,0,,,,2,,,,0,,,,14,,,,10,,,,29,,,,4,,,,0,,,,3
40,Newcastle_Blackburn_2004,3,2004-09-11,2004,3,3,0,Lost,2,0,Lost,D Gallagher,7,5,4,1,10,19,8,5,2,1,0,0,,,,13,,,,6,,,,36,,,,11,,,,2,,,,0,,,,7,,,,0,,,,6,,,,1,,,,28,,,,16,,,,23,,,,9,,,,0,,,,2
41,Portsmouth_Crystal Palace_2004,3,2004-09-11,2004,12,3,1,Lost,1,1,Draw,P Dowd,16,6,7,3,14,21,8,7,0,2,0,0,,,,20,,,,10,,,,32,,,,13,,,,2,,,,0,,,,3,,,,0,,,,3,,,,1,,,,38,,,,25,,,,30,,,,10,,,,0,,,,1
42,Liverpool_West Brom_2004,3,2004-09-11,2004,36,3,0,Lost,2,0,Lost,S Dunn,16,9,9,5,9,11,8,6,0,0,0,0,,,,16,,,,10,,,,33,,,,11,,,,2,,,,2,,,,1,,,,0,,,,3,,,,1,,,,28,,,,14,,,,26,,,,11,,,,0,,,,1
43,Bolton_Man United_2004,3,2004-09-11,2004,22,2,2,Draw,0,1,Winn,M Messias,12,12,7,7,22,15,4,7,2,1,0,0,,,,35,,,,18,,,,25,,,,17,,,,1,,,,0,,,,1,,,,0,,,,2,,,,2,,,,16,,,,9,,,,42,,,,6,,,,1,,,,3
44,Aston Villa_Chelsea_2004,3,2004-09-11,2004,11,0,0,Draw,0,0,Draw,R Styles,11,18,5,10,9,12,2,9,0,1,0,0,,,,23,,,,13,,,,28,,,,8,,,,3,,,,1,,,,1,,,,0,,,,0,,,,0,,,,16,,,,7,,,,19,,,,9,,,,0,,,,1
45,Man City_Everton_2004,3,2004-09-11,2004,14,0,1,Winn,0,0,Draw,S Bennett,13,6,4,5,14,9,9,6,1,3,0,1,,,,21,,,,9,,,,31,,,,8,,,,3,,,,1,,,,3,,,,1,,,,1,,,,1,,,,29,,,,15,,,,14,,,,14,,,,0,,,,1
46,Middlesbrough_Birmingham_2004,3,2004-09-11,2004,2,2,1,Lost,1,1,Draw,G Poll,14,5,6,3,16,19,6,3,2,3,0,0,,,,26,,,,13,,,,21,,,,12,,,,1,,,,1,,,,5,,,,0,,,,2,,,,2,,,,20,,,,11,,,,28,,,,10,,,,0,,,,6
47,Tottenham_Norwich_2004,3,2004-09-12,2004,25,0,0,Draw,0,0,Draw,H Webb,15,7,7,2,17,9,13,5,2,1,0,0,,,,20,,,,7,,,,33,,,,11,,,,3,,,,0,,,,2,,,,0,,,,4,,,,2,,,,40,,,,22,,,,25,,,,23,,,,0,,,,0
48,Charlton_Southampton_2004,3,2004-09-13,2004,30,0,0,Draw,0,0,Draw,N Barry,8,12,4,7,12,13,9,10,0,1,0,0,,,,12,,,,4,,,,21,,,,6,,,,1,,,,1,,,,4,,,,0,,,,4,,,,4,,,,30,,,,12,,,,25,,,,21,,,,0,,,,0
49,West Brom_Fulham_2004,3,2004-09-18,2004,15,1,1,Draw,0,0,Draw,M Dean,8,9,5,3,11,6,11,9,2,5,1,2,,,,22,,,,12,,,,24,,,,12,,,,4,,,,2,,,,4,,,,0,,,,5,,,,4,,,,33,,,,18,,,,26,,,,15,,,,0,,,,0
50,Arsenal_Bolton_2004,3,2004-09-18,2004,5,2,2,Draw,1,0,Lost,P Dowd,11,8,6,5,13,17,3,8,1,3,0,0,,,,19,,,,9,,,,21,,,,10,,,,2,,,,2,,,,1,,,,0,,,,3,,,,1,,,,33,,,,18,,,,20,,,,17,,,,0,,,,1
51,Norwich_Aston Villa_2004,3,2004-09-18,2004,1,0,0,Draw,0,0,Draw,B Knight,14,18,3,9,10,13,1,6,1,1,0,0,,,,18,,,,8,,,,27,,,,16,,,,1,,,,1,,,,3,,,,0,,,,4,,,,3,,,,21,,,,10,,,,18,,,,16,,,,0,,,,2
52,Blackburn_Portsmouth_2004,2,2004-09-18,2004,26,1,0,Lost,0,0,Draw,M Clattenburg,13,6,3,2,13,15,13,4,0,3,0,0,,,,10,,,,6,,,,11,,,,6,,,,1,,,,0,,,,1,,,,0,,,,2,,,,1,,,,18,,,,14,,,,9,,,,5,,,,0,,,,0
53,Crystal Palace_Man City_2004,3,2004-09-18,2004,21,1,2,Winn,0,0,Draw,M Atkinson,3,14,1,10,14,15,2,7,2,2,0,0,,,,11,,,,5,,,,30,,,,8,,,,1,,,,1,,,,4,,,,1,,,,3,,,,1,,,,21,,,,12,,,,29,,,,10,,,,0,,,,2
54,Birmingham_Charlton_2004,3,2004-09-18,2004,10,1,1,Draw,0,0,Draw,U Rennie,7,2,5,1,12,16,12,3,3,2,1,0,,,,15,,,,8,,,,20,,,,9,,,,1,,,,0,,,,2,,,,0,,,,8,,,,4,,,,37,,,,21,,,,21,,,,15,,,,0,,,,1
55,Everton_Middlesbrough_2004,3,2004-09-19,2004,23,1,0,Lost,0,0,Draw,H Webb,11,16,9,11,13,12,6,3,1,4,0,0,,,,19,,,,10,,,,22,,,,11,,,,5,,,,1,,,,2,,,,0,,,,5,,,,1,,,,22,,,,13,,,,18,,,,8,,,,0,,,,1
56,Southampton_Newcastle_2004,3,2004-09-19,2004,24,1,2,Winn,0,1,Winn,C Foy,11,9,6,3,15,11,7,6,0,3,0,0,,,,23,,,,14,,,,24,,,,11,,,,4,,,,3,,,,2,,,,0,,,,6,,,,1,,,,31,,,,21,,,,39,,,,15,,,,0,,,,6
57,Chelsea_Tottenham_2004,3,2004-09-19,2004,34,0,0,Draw,0,0,Draw,M Riley,20,6,8,3,16,13,9,6,1,2,0,0,,,,27,,,,14,,,,22,,,,8,,,,2,,,,1,,,,2,,,,0,,,,1,,,,1,,,,17,,,,8,,,,23,,,,17,,,,0,,,,1
