,idGame,nWeekHome,Date,year,IdHomeTeam,FTG_asH,FT_against_H,FT_RESULT,HTG_asH,HT_against_H,HT_RESULT,Referee,Shoot_asH,Shoot_against_H,ShootTarget_asH,ShootTarget_against_H,Fouls_asH,Fouls_against_H,Corner_asH,Corner_against_H,YellowC_asH,YellowC_against_H,RedC_asH,RedC_againts_H,Shoot_asH_last_3,Shoot_asH_last_6,Shoot_asH_last_10,Shoot_asH_last_infinity,ShootTarget_asH_last_3,ShootTarget_asH_last_6,ShootTarget_asH_last_10,ShootTarget_asH_last_infinity,Fouls_asH_last_3,Fouls_asH_last_6,Fouls_asH_last_10,Fouls_asH_last_infinity,Corner_asH_last_3,Corner_asH_last_6,Corner_asH_last_10,Corner_asH_last_infinity,FTG_asH_last_3,FTG_asH_last_6,FTG_asH_last_10,FTG_asH_last_infinity,HTG_asH_last_3,HTG_asH_last_6,HTG_asH_last_10,HTG_asH_last_infinity,YellowC_asH_last_3,YellowC_asH_last_6,YellowC_asH_last_10,YellowC_asH_last_infinity,RedC_asH_last_3,RedC_asH_last_6,RedC_asH_last_10,RedC_asH_last_infinity,FT_against_H_last_3,FT_against_H_last_6,FT_against_H_last_10,FT_against_H_last_infinity,HT_against_H_last_3,HT_against_H_last_6,HT_against_H_last_10,HT_against_H_last_infinity,Shoot_against_H_last_3,Shoot_against_H_last_6,Shoot_against_H_last_10,Shoot_against_H_last_infinity,ShootTarget_against_H_last_3,ShootTarget_against_H_last_6,ShootTarget_against_H_last_10,ShootTarget_against_H_last_infinity,Fouls_against_H_last_3,Fouls_against_H_last_6,Fouls_against_H_last_10,Fouls_against_H_last_infinity,Corner_against_H_last_3,Corner_against_H_last_6,Corner_against_H_last_10,Corner_against_H_last_infinity,RedC_againts_H_last_3,RedC_againts_H_last_6,RedC_againts_H_last_10,RedC_againts_H_last_infinity,YellowC_against_H_last_3,YellowC_against_H_last_6,YellowC_against_H_last_10,YellowC_against_H_last_infinity
38,Birmingham_Liverpool_2010,2,2010-09-12,2010,2,0,0,Draw,0,0,Draw,M Halsey,15,14,3,8,8,9,4,3,1,0,0,0,,,,10,,,,7,,,,13,,,,4,,,,2,,,,0,,,,2,,,,0,,,,1,,,,0,,,,7,,,,2,,,,14,,,,12,,,,0,,,,3
39,Stoke_Aston Villa_2010,2,2010-09-13,2010,31,2,1,Winn,0,1,Lost,L Probert,20,10,12,6,11,14,8,7,1,2,0,0,,,,15,,,,10,,,,15,,,,6,,,,1,,,,1,,,,3,,,,0,,,,2,,,,2,,,,7,,,,6,,,,4,,,,2,,,,0,,,,1
40,Everton_Newcastle_2010,3,2010-09-18,2010,14,0,1,Lost,0,1,Lost,A Marriner,6,9,3,4,15,21,3,6,2,3,0,0,,,,37,,,,20,,,,29,,,,10,,,,4,,,,2,,,,2,,,,0,,,,4,,,,1,,,,22,,,,12,,,,33,,,,8,,,,0,,,,3
41,Blackburn_Fulham_2010,3,2010-09-18,2010,3,1,1,Draw,1,0,Winn,A Taylor,9,9,5,4,15,10,3,3,0,1,0,0,,,,22,,,,9,,,,28,,,,5,,,,2,,,,2,,,,3,,,,0,,,,2,,,,1,,,,31,,,,21,,,,21,,,,11,,,,0,,,,1
42,Stoke_West Ham_2010,3,2010-09-18,2010,31,1,1,Draw,0,1,Lost,L Mason,9,13,3,6,14,8,6,3,3,2,0,0,,,,35,,,,22,,,,26,,,,14,,,,3,,,,1,,,,4,,,,0,,,,3,,,,3,,,,17,,,,12,,,,18,,,,9,,,,0,,,,3
43,West Brom_Birmingham_2010,3,2010-09-18,2010,36,3,1,Winn,0,1,Lost,C Foy,16,6,10,3,11,8,5,0,1,1,0,0,,,,26,,,,13,,,,28,,,,13,,,,2,,,,1,,,,4,,,,0,,,,1,,,,1,,,,26,,,,13,,,,21,,,,10,,,,0,,,,3
44,Tottenham_Wolves_2010,3,2010-09-18,2010,34,3,1,Winn,0,1,Lost,M Jones,20,5,11,2,7,11,5,4,3,3,0,0,,,,34,,,,25,,,,23,,,,26,,,,0,,,,0,,,,3,,,,0,,,,1,,,,0,,,,24,,,,12,,,,27,,,,10,,,,0,,,,4
45,Sunderland_Arsenal_2010,3,2010-09-18,2010,32,1,1,Draw,0,1,Lost,P Dowd,16,16,5,7,11,13,11,3,2,2,0,1,,,,18,,,,6,,,,18,,,,6,,,,3,,,,1,,,,3,,,,1,,,,2,,,,0,,,,22,,,,14,,,,19,,,,13,,,,0,,,,6
46,Aston Villa_Bolton_2010,3,2010-09-18,2010,1,1,1,Draw,1,1,Draw,M Dean,13,13,6,7,15,8,8,4,1,2,0,0,,,,35,,,,17,,,,34,,,,20,,,,4,,,,3,,,,5,,,,0,,,,0,,,,0,,,,27,,,,11,,,,25,,,,23,,,,0,,,,2
47,Chelsea_Blackpool_2010,3,2010-09-19,2010,11,4,0,Winn,4,0,Winn,M Clattenburg,27,11,15,4,7,4,9,6,1,2,0,0,,,,33,,,,19,,,,15,,,,9,,,,8,,,,3,,,,1,,,,0,,,,0,,,,0,,,,19,,,,7,,,,20,,,,2,,,,0,,,,2
48,Wigan_Man City_2010,4,2010-09-19,2010,38,0,2,Lost,0,1,Lost,L Probert,9,11,3,5,10,14,3,1,1,2,0,0,45.0,,,45,22.0,,,22,39.0,,,39,11.0,,,11,1.0,,,1,0.0,,,0,6.0,,,6,0.0,,,0,11.0,,,11,4.0,,,4,23.0,,,23,17.0,,,17,29.0,,,29,5.0,,,5,1.0,,,1,5.0,,,5
49,Man United_Liverpool_2010,3,2010-09-19,2010,22,3,2,Winn,1,0,Winn,H Webb,16,7,7,1,15,10,6,1,4,1,0,0,,,,36,,,,21,,,,15,,,,14,,,,6,,,,3,,,,3,,,,0,,,,0,,,,0,,,,14,,,,5,,,,16,,,,6,,,,0,,,,4
50,Birmingham_Wigan_2010,3,2010-09-25,2010,2,0,0,Draw,0,0,Draw,M Clattenburg,10,17,4,10,12,18,3,7,2,3,1,0,,,,25,,,,10,,,,21,,,,8,,,,2,,,,0,,,,3,,,,0,,,,1,,,,0,,,,21,,,,10,,,,23,,,,15,,,,0,,,,3
51,Liverpool_Sunderland_2010,3,2010-09-25,2010,20,2,2,Draw,1,1,Draw,S Attwell,13,10,5,1,15,7,3,3,3,1,0,0,,,,18,,,,11,,,,22,,,,16,,,,2,,,,0,,,,1,,,,1,,,,1,,,,0,,,,28,,,,12,,,,23,,,,17,,,,2,,,,3
52,West Ham_Tottenham_2010,3,2010-09-25,2010,37,1,0,Winn,1,0,Winn,M Atkinson,22,17,15,11,10,11,14,7,2,0,0,0,,,,30,,,,17,,,,24,,,,9,,,,2,,,,0,,,,4,,,,0,,,,6,,,,2,,,,29,,,,17,,,,28,,,,10,,,,0,,,,6
53,Man City_Chelsea_2010,3,2010-09-25,2010,21,1,0,Winn,0,0,Draw,A Marriner,8,15,6,4,10,12,3,4,2,3,0,0,,,,28,,,,17,,,,25,,,,19,,,,4,,,,1,,,,3,,,,0,,,,1,,,,1,,,,17,,,,9,,,,22,,,,6,,,,0,,,,2
54,Arsenal_West Brom_2010,3,2010-09-25,2010,0,2,3,Lost,0,0,Draw,M Oliver,24,7,12,5,15,14,16,4,4,3,0,0,,,,49,,,,30,,,,20,,,,17,,,,10,,,,4,,,,2,,,,0,,,,1,,,,1,,,,10,,,,7,,,,14,,,,8,,,,2,,,,2
55,Blackpool_Blackburn_2010,2,2010-09-25,2010,4,1,2,Lost,0,1,Lost,M Dean,11,13,8,8,12,11,8,8,2,1,0,0,,,,14,,,,5,,,,13,,,,4,,,,2,,,,0,,,,1,,,,0,,,,2,,,,1,,,,12,,,,7,,,,16,,,,5,,,,0,,,,0
56,Fulham_Everton_2010,3,2010-09-25,2010,15,0,0,Draw,0,0,Draw,H Webb,12,15,2,7,15,13,4,5,2,1,0,0,,,,29,,,,14,,,,16,,,,11,,,,4,,,,0,,,,5,,,,0,,,,3,,,,2,,,,18,,,,9,,,,23,,,,17,,,,1,,,,8
57,Bolton_Man United_2010,3,2010-09-26,2010,5,2,2,Draw,1,1,Draw,P Dowd,15,12,9,6,16,18,7,12,1,2,0,0,,,,24,,,,17,,,,31,,,,10,,,,2,,,,0,,,,3,,,,1,,,,2,,,,1,,,,21,,,,12,,,,30,,,,9,,,,0,,,,6
